ID,filename,sexe,date_accident,date_consolidation
806,Aix-en-Provence_615561.txt,homme,2000-07-27,n.c.
807,Aix-en-Provence_617703.txt,femme,1999-11-16,2000-11-16
808,Aix-en-Provence_619114.txt,homme,2003-07-18,2003-07-18
809,Aix-en-Provence_619310.txt,homme,2004-02-04,2005-06-08
810,Aix-en-Provence_619896.txt,homme,1998-01-06,1998-09-17
811,Aix-en-Provence_620180.txt,femme,2004-04-28,2005-04-28
812,Aix-en-Provence_620322.txt,homme,1994-12-19,2001-05-08
813,Aix-en-Provence_620596.txt,homme,n.c.,1999-11-26
814,Aix-en-Provence_620750.txt,homme,2002-09-10,2002-12-02
815,Aix-en-Provence_621076.txt,homme,2002-06-19,2004-07-09
816,Aix-en-Provence_621909.txt,homme,1982-11-30,2005-02-24
817,Aix-en-Provence_63498.txt,femme,n.c.,1996-07-06
818,Aix-en-Provence_700531.txt,femme,1998-12-11,2001-07-09
819,Aix-en-Provence_700642.txt,femme,2003-09-19,2004-09-30
820,Aix-en-Provence_7008861.txt,homme,2005-10-25,2003-06-30
821,Aix-en-Provence_701110.txt,homme,2002-03-14,2003-05-20
822,Aix-en-Provence_701758.txt,homme,1994-02-03,2003-10-23
823,Aix-en-Provence_703014.txt,homme,1981-08-24,2004-05-24
824,Aix-en-Provence_703167.txt,homme,2003-04-18,2004-06-16
825,Aix-en-Provence_703203.txt,homme,2004-08-04,2005-08-04
826,Aix-en-Provence_703638.txt,homme,1996-05-29,n.c.
827,Aix-en-Provence_703954.txt,homme,2001-09-22,n.c.
828,Aix-en-Provence_704083.txt,homme,2001-10-21,2002-12-27
829,Aix-en-Provence_704369.txt,femme,1997-11-20,2002-01-14
830,Aix-en-Provence_706326.txt,femme,2002-06-02,2004-06-02
831,Aix-en-Provence_707248.txt,femme,2004-07-01,2005-07-02
832,Aix-en-Provence_708391.txt,homme,2001-01-09,2002-04-17
833,Aix-en-Provence_708861.txt,homme,2005-10-25,2003-06-30
834,Aix-en-Provence_715159.txt,femme,1999-05-23,2005-03-30
835,Aix-en-Provence_716178.txt,femme,2004-03-26,2005-05-13
836,Aix-en-Provence_719164.txt,homme,2002-07-14,2004-10-12
837,Aix-en-Provence_719831.txt,homme,2005-09-26,2006-09-26
838,Aix-en-Provence_721265.txt,homme,2002-06-29,2003-03-13
839,Aix-en-Provence_801656.txt,homme,2005-12-09,2007-05-10
840,Aix-en-Provence_802304.txt,homme,2003-10-13,2006-10-13
841,Angers_1001337.txt,homme,1994-02-23,1995-05-29
842,Angers_1002571.txt,homme,2004-09-07,2006-07-03
843,Angers_1100560.txt,homme,2007-08-31,2009-02-03
844,Angers_1201017.txt,homme,2005-05-09,2007-08-10
845,Angers_1201990.txt,homme,2006-08-01,n.c.
846,Angers_1302127.txt,homme,2007-03-02,2008-06-29
847,Angers_902440.txt,homme,2003-11-28,n.a.
848,Basse-Terre_1202006.txt,femme,2003-12-23,2007-01-25
849,Basse-Terre_17000791.txt,femme,2012-02-03,n.c.
850,Basse-Terre_17012041.txt,femme,2011-08-30,n.c.
851,Basse-Terre_18006981.txt,homme,2012-07-23,n.c.
852,Bastia_1000002.txt,femme,2003-06-16,n.c.
853,Bastia_1000263.txt,homme,n.c.,2012-01-01
854,Bastia_1000936.txt,homme,2008-09-22,n.c.
855,Bastia_1100188.txt,homme,2009-07-27,n.a.
856,Bastia_1100507.txt,femme,2002-08-27,n.c.
857,Bastia_1100717.txt,homme,2005-10-18,n.a.
858,Bastia_1200145.txt,homme,2003-10-16,n.a.
859,Bastia_1200357.txt,homme,2009-06-21,n.c.
860,Bastia_1200590.txt,homme,2010-07-17,2011-09-21
861,Bastia_1200754.txt,homme,n.c.,n.c.
862,Bastia_12009861.txt,femme,2003-07-30,n.a.
863,Bastia_1300142.txt,femme,1996-07-20,2010-07-28
864,Bastia_1300387.txt,femme,2006-03-05,2007-11-22
865,Bastia_1300608.txt,homme,2004-07-11,n.a.
866,Bastia_1300858.txt,femme,2008-06-17,2012-01-24
867,Bastia_1400035.txt,homme,2011-01-21,n.a.
868,Bastia_1400131.txt,homme,2010-09-15,n.c.
869,Bastia_1500085.txt,homme,2008-09-03,n.a.
870,Bastia_1500296.txt,homme,2011-10-20,2012-01-10
871,Bastia_1500380.txt,homme,2009-09-11,2006-10-11
872,Bastia_1500452.txt,femme,2009-09-25,2011-09-19
873,Bastia_1500487.txt,homme,2013-03-11,n.a.
874,Bastia_1500491.txt,homme,2013-08-17,n.c.
875,Bastia_1500640.txt,homme,2010-09-08,2008-09-08
876,Bastia_1600028.txt,homme,2016-01-04,n.a.
877,Bastia_18000274.txt,homme,2016-02-22,n.a.
878,Bastia_6125.txt,femme,1998-07-24,2003-11-10
879,Bastia_800667.txt,femme,1998-06-09,1998-07-09
880,Bastia_901131.txt,homme,n.c.,n.a.
881,Besan_601761.txt,homme,1990-02-05,2002-07-10
882,Bordeaux_1200991.txt,homme,2006-01-13,2006-08-31
883,Bordeaux_1300239.txt,homme,n.c.,n.c.
884,Bordeaux_1302211.txt,homme,2006-11-29,2010-11-29
885,Bordeaux_1302439.txt,homme,2007-06-20,2006-07-05
886,Bordeaux_1303651.txt,homme,2000-05-28,2002-08-31
887,Bordeaux_1304076.txt,homme,2006-07-09,n.c.
888,Bordeaux_1306314.txt,homme,2013-02-02,2013-03-15
889,Bordeaux_200745.txt,homme,1982-06-20,2002-05-31
890,Bordeaux_5002588.txt,homme,2002-03-20,2004-01-03
891,Bordeaux_5002837.txt,homme,1960-06-05,2002-01-17
892,Bordeaux_500482.txt,femme,2004-03-11,2005-04-20
893,Bordeaux_503410.txt,femme,1985-07-27,2002-09-30
894,Bordeaux_504720.txt,femme,2000-05-13,2000-11-13
895,Bordeaux_506786.txt,homme,1998-01-28,2000-01-26
896,Bordeaux_600639.txt,homme,n.c.,n.c.
897,Bordeaux_600677.txt,homme,2003-08-04,2003-09-16
898,Bordeaux_603859.txt,femme,1997-05-30,n.c.
899,Bordeaux_604666.txt,femme,2003-12-19,n.c.
900,Bordeaux_60681.txt,homme,2004-12-03,n.c.
901,Bordeaux_62296.txt,homme,1986-07-13,2003-05-27
902,Bordeaux_700968.txt,femme,2001-01-10,n.c.
903,Bordeaux_700992.txt,femme,2003-05-07,2003-04-02
904,Bordeaux_700997.txt,homme,2004-08-08,n.c.
905,Bordeaux_702210.txt,homme,2000-09-15,2000-09-15
906,Bordeaux_800194.txt,homme,2002-02-24,2005-02-08
907,Caen_802073.txt,homme,1998-09-11,2000-06-27
908,Colmar_104799.txt,femme,2004-02-19,n.c.
909,Dijon_1500358.txt,homme,2010-08-31,n.a.
910,Dijon_1500359.txt,homme,2010-10-04,n.a.
911,Douai_15045901.txt,homme,2008-06-19,n.c.
912,Douai_401108.txt,homme,1999-07-23,n.a.
913,Douai_53156.txt,homme,1998-06-26,n.a.
914,Douai_600633.txt,homme,2002-01-07,2003-01-21
915,Douai_600723.txt,homme,1994-03-31,1987-07-22
916,Douai_601827.txt,homme,1999-10-12,n.c.
917,Douai_602282.txt,homme,2003-04-29,n.a.
918,Douai_60925.txt,homme,1999-02-08,2000-11-01
919,Douai_6863.txt,homme,2003-06-12,2002-05-27
920,Douai_700282.txt,homme,2003-02-15,n.a.
921,Douai_701017.txt,homme,2004-11-22,n.a.
922,Douai_7822.txt,homme,2005-02-02,n.a.
923,Douai_800098.txt,homme,2001-12-03,n.a.
924,Douai_800705.txt,homme,2001-11-27,n.a.
925,Douai_800716.txt,homme,2003-12-23,n.a.
926,Grenoble_17014881.txt,femme,2013-02-13,2014-06-30
927,Grenoble_51071.txt,homme,2000-09-17,2001-06-15
928,Grenoble_62285.txt,homme,1998-10-18,n.c.
929,Grenoble_6484.txt,homme,1999-08-26,n.c.
930,Grenoble_700994.txt,homme,2002-02-25,n.c.
931,Grenoble_701331.txt,homme,1990-02-02,1994-03-01
932,Limoges_1001518.txt,homme,1980-06-28,n.c.
933,Limoges_1200720.txt,homme,2011-08-28,n.c.
934,Limoges_1400220.txt,homme,2012-01-24,2013-02-25
935,Limoges_1400744.txt,homme,2010-03-02,2014-01-15
936,Limoges_1401470.txt,homme,2012-08-21,2013-08-29
937,Limoges_1501106.txt,homme,2015-04-25,n.c.
938,Limoges_1600996.txt,homme,2010-10-29,n.c.
939,Lyon_20006782.txt,femme,1999-08-18,1999-08-18
940,Lyon_200105036.txt,homme,2000-06-04,2001-06-06
941,Lyon_405799.txt,homme,1996-10-23,n.c.
942,Lyon_600847.txt,homme,2007-02-15,2000-04-03
943,Lyon_801162.txt,homme,1997-01-29,2005-03-02
944,Lyon_907138.txt,homme,2004-12-21,2009-04-28
945,Montpellier_1009770.txt,homme,2003-04-14,n.a.
946,Montpellier_1302216.txt,homme,2010-01-19,n.c.
947,Montpellier_1303085.txt,homme,1992-10-11,2009-02-05
948,Montpellier_1503197.txt,homme,2012-06-14,2012-06-15
949,Montpellier_602605.txt,homme,2002-04-05,n.c.
950,Montpellier_607457.txt,homme,2002-07-10,2003-04-30
951,Montpellier_706675.txt,homme,2006-11-26,n.c.
952,Montpellier_900581.txt,homme,2008-09-27,n.c.
953,Nimes_1303536.txt,femme,2008-02-01,2011-05-26
954,Nimes_1400048.txt,homme,2006-09-17,n.c.
955,Nimes_1400676.txt,homme,2006-05-14,2006-06-19
956,Nimes_14043341.txt,homme,2010-12-06,2011-05-31
957,Nimes_300752.txt,homme,1998-03-07,1999-12-22
958,Nimes_501201.txt,homme,1998-08-12,2000-12-02
959,Nimes_501403.txt,homme,1999-04-24,2001-12-18
960,Nimes_501404.txt,homme,1999-07-19,n.c.
961,Nimes_504387.txt,homme,1998-12-16,1999-12-09
962,Nimes_600238.txt,homme,1996-06-04,2001-03-15
963,Nimes_601227.txt,homme,1995-11-05,2008-10-09
964,Nimes_602277.txt,homme,2001-07-24,n.c.
965,Nimes_603020.txt,homme,2003-06-23,2004-06-23
966,Nimes_605150.txt,homme,2003-07-04,n.c.
967,Nimes_702262.txt,femme,1998-09-03,1998-09-03
968,Nimes_803842.txt,femme,2002-06-04,2002-02-05
969,Nimes_901516.txt,homme,2002-09-14,2003-01-24
970,Nimes_902055.txt,homme,2000-02-27,2002-02-28
971,Nimes_902586.txt,homme,2005-08-24,n.c.
972,Nouméa_1100073.txt,femme,1998-04-19,2009-10-31
973,Nouméa_1100502.txt,homme,2003-12-12,n.c.
974,Nouméa_1300187.txt,homme,n.c.,2011-04-15
975,Nouméa_1300347.txt,femme,2013-01-14,2014-04-28
976,Orléans_1400835.txt,homme,2011-11-12,n.c.
977,Orléans_700602.txt,homme,2003-07-02,2004-06-30
978,Orléans_702603.txt,homme,2001-12-05,1996-05-22
979,Papeete_600057.txt,homme,1985-08-06,2001-10-20
980,Paris_1010897.txt,homme,2001-09-13,2003-12-07
981,Paris_1017243.txt,femme,n.c.,2009-02-24
982,Paris_1021420.txt,femme,2001-07-29,2008-05-06
983,Paris_1023745.txt,homme,2006-02-28,n.c.
984,Paris_1024065.txt,femme,n.c.,n.c.
985,Paris_1104261.txt,femme,2005-11-02,n.a.
986,Paris_1104845.txt,homme,2006-04-24,n.c.
987,Paris_1300254.txt,homme,2009-06-22,2010-10-31
988,Paris_200016481.txt,homme,1998-09-23,1998-05-12
989,Paris_200201437.txt,homme,n.c.,n.c.
990,Paris_511215.txt,homme,1995-07-11,2002-06-01
991,Paris_514437.txt,homme,2000-05-21,n.c.
992,Paris_609180.txt,homme,2001-07-26,2002-07-31
993,Paris_611686.txt,femme,2004-02-19,n.c.
994,Paris_69180.txt,homme,2001-07-26,2003-01-26
995,Paris_69292.txt,homme,1996-04-22,n.c.
996,Pau_400905.txt,femme,n.c.,2004-03-10
997,Pau_700175.txt,homme,1988-07-10,n.c.
998,Poitiers_101135.txt,homme,1995-05-30,n.c.
999,Poitiers_18000582.txt,homme,2006-06-17,n.c.
1000,Reims_100212.txt,homme,1999-07-04,n.c.
1001,Reims_17020751.txt,homme,2009-08-21,2009-11-27
1002,Reims_18003081.txt,homme,2016-07-24,n.c.
1003,Reims_302146.txt,homme,2001-07-05,n.c.
1004,Rennes_201323.txt,femme,1999-02-24,n.c.
1005,Rennes_300947.txt,homme,1998-10-19,1998-10-19
1006,Rennes_301687.txt,homme,1972-07-08,n.c.
1007,Rennes_304847.txt,homme,1987-07-12,2007-02-05
1008,Rennes_502498.txt,homme,1999-06-30,2002-06-11
1009,Rennes_504289.txt,homme,2001-03-10,2001-07-18
1010,Rennes_506560.txt,femme,1990-02-06,1990-02-06
1011,Rennes_601267.txt,homme,1998-02-01,2002-10-01
1012,Rennes_603210.txt,homme,2001-12-13,n.c.
1013,Riom_700509.txt,homme,2003-11-24,n.a.
1014,Riom_700520.txt,homme,2004-06-10,n.a.
1015,Rouen_63607.txt,homme,1996-06-07,2001-01-05
1016,Saint-Denis_500630.txt,homme,2000-04-13,2002-12-11
1017,Toulouse_603554.txt,homme,2003-03-01,n.c.
1018,Toulouse_605345.txt,homme,1995-07-01,1995-07-01
1019,Toulouse_702662.txt,femme,1999-09-13,2000-06-01
1020,Toulouse_705094.txt,homme,n.c.,n.a.
1021,Versailles_1102868.txt,homme,2008-02-14,n.a.
1022,Versailles_1102996.txt,homme,2005-04-07,n.a.
1023,Versailles_1404397.txt,femme,n.c.,1968-05-20
1024,Versailles_1508232.txt,femme,2014-08-07,2012-01-26
1025,Versailles_45687.txt,homme,2000-10-09,2005-12-01
1026,Versailles_64952.txt,femme,1987-04-29,n.c.
